id,Month,Wellington,'Enrolments,'Enrolments,GST,'Gross,'Est
189,2008-09-01,336,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
190,2008-10-01,339,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
191,2008-11-01,347,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
192,2008-12-01,354,21930,33620,1918000000,25362000000,383100
193,2009-01-01,346,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
194,2009-02-01,364,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
195,2009-03-01,362,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
196,2009-04-01,353,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
197,2009-05-01,367,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
198,2009-06-01,347,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
199,2009-07-01,343,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
200,2009-08-01,335,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
201,2009-09-01,351,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
202,2009-10-01,345,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
203,2009-11-01,348,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
204,2009-12-01,361,22925,35610,1937000000,26093000000,385900
205,2010-01-01,363,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
206,2010-02-01,396,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
207,2010-03-01,362,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
208,2010-04-01,375,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
209,2010-05-01,366,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
210,2010-06-01,351,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
211,2010-07-01,350,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
212,2010-08-01,358,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
213,2010-09-01,355,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
214,2010-10-01,348,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
215,2010-11-01,374,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
216,2010-12-01,364,22880,34425,1998000000,27275000000,388400
217,2011-01-01,371,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
218,2011-02-01,384,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
219,2011-03-01,393,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
220,2011-04-01,364,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
221,2011-05-01,361,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
222,2011-06-01,357,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
223,2011-07-01,345,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
224,2011-08-01,359,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
225,2011-09-01,361,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
226,2011-10-01,354,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
227,2011-11-01,361,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
228,2011-12-01,373,22560,33215,2203000000,28022000000,391400
229,2012-01-01,378,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
230,2012-02-01,399,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
231,2012-03-01,395,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
232,2012-04-01,383,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
233,2012-05-01,375,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
234,2012-06-01,359,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
235,2012-07-01,353,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
236,2012-08-01,361,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
237,2012-09-01,350,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
238,2012-10-01,365,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
239,2012-11-01,365,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
240,2012-12-01,374,21195,33175,2491000000,29686000000,392500
241,2013-01-01,386,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
242,2013-02-01,398,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
243,2013-03-01,406,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
244,2013-04-01,393,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
245,2013-05-01,382,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
246,2013-06-01,374,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
247,2013-07-01,366,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
248,2013-08-01,371,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
249,2013-09-01,367,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
250,2013-10-01,366,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
251,2013-11-01,368,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
252,2013-12-01,377,21480,32135,2558000000,30096000000,393700
253,2014-01-01,401,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
254,2014-02-01,422,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
255,2014-03-01,415,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
